Year,Total CAPEX,Total Renewal Cost,Total OPEX,Total Cost,Total Emissions,Fuel Consumption (Coke_BB),Fuel Consumption (Thermal coal_BB),Fuel Consumption (BF gas_BB),Fuel Consumption (COG_BB),Fuel Consumption (BOF gas_BB),Fuel Consumption (Natural gas_BB),Fuel Consumption (Hydrogen_H2),Fuel Consumption (Electricity_H2),Fuel Consumption (Steam_H2),Fuel Consumption (Natural gas_EAF),Fuel Consumption (Electricity_EAF),Fuel Consumption (Steam_EAF),Material Consumption (Iron ore_BB),Material Consumption (Scrap_BB),Material Consumption (DRI_BB),Material Consumption (Iron ore_H2),Material Consumption (Scrap_H2),Material Consumption (DRI_H2),Material Consumption (Iron ore_EAF),Material Consumption (Scrap_EAF),Material Consumption (DRI_EAF),Tech Adoption (BAT BF-BOF),Tech Adoption (H2-DRI-EAF),Tech Adoption (EAF)
2025,5285764725000.0,0.0,3537132852220.0,8822897577220.0,44606447.36427,94753760.2,27032690.410000004,104229136.22,31770378.419999998,16442564.270000001,4459000.4799999995,0.0,0.0,0.0,0.0,0.0,0.0,16158690.0,3790310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2026,0.0,1363939337100.0,3537132852220.0,4901072189320.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2027,0.0,0.0,3537132852220.0,3537132852220.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2028,0.0,0.0,3537132852220.0,3537132852220.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2029,0.0,0.0,3537132852220.0,3537132852220.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2030,0.0,0.0,3537132852220.0,3537132852220.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2031,0.0,0.0,3537132852220.0,3537132852220.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2032,0.0,0.0,3537132852220.0,3537132852220.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2033,0.0,1988429005800.0,3537132852220.0,5525561858020.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2034,0.0,0.0,3537132852220.0,3537132852220.0,44733528.87795,67163694.73,27868753.0,111475012.0,27868753.0,16442564.270000001,27868753.0,0.0,0.0,0.0,0.0,0.0,0.0,19949000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
